Name,GW1 Pts,GW1 Transfers,GW1 Bench,GW1 OR,GW1 Rank,GW2 Pts,GW2 Transfers,GW2 Bench,GW2 OR,GW2 Rank,GW3 Pts,GW3 Transfers,GW3 Bench,GW3 OR,GW3 Rank,GW4 Pts,GW4 Transfers,GW4 Bench,GW4 OR,GW4 Rank,GW5 Pts,GW5 Transfers,GW5 Bench,GW5 OR,GW5 Rank,GW6 Pts,GW6 Transfers,GW6 Bench,GW6 OR,GW6 Rank,GW7 Pts,GW7 Transfers,GW7 Bench,GW7 OR,GW7 Rank,GW8 Pts,GW8 Transfers,GW8 Bench,GW8 OR,GW8 Rank,GW9 Pts,GW9 Transfers,GW9 Bench,GW9 OR,GW9 Rank,GW10 Pts,GW10 Transfers,GW10 Bench,GW10 OR,GW10 Rank,GW11 Pts,GW11 Transfers,GW11 Bench,GW11 OR,GW11 Rank,GW12 Pts,GW12 Transfers,GW12 Bench,GW12 OR,GW12 Rank,GW13 Pts,GW13 Transfers,GW13 Bench,GW13 OR,GW13 Rank,GW14 Pts,GW14 Transfers,GW14 Bench,GW14 OR,GW14 Rank,GW15 Pts,GW15 Transfers,GW15 Bench,GW15 OR,GW15 Rank,GW16 Pts,GW16 Transfers,GW16 Bench,GW16 OR,GW16 Rank,GW17 Pts,GW17 Transfers,GW17 Bench,GW17 OR,GW17 Rank,GW18 Pts,GW18 Transfers,GW18 Bench,GW18 OR,GW18 Rank,GW19 Pts,GW19 Transfers,GW19 Bench,GW19 OR,GW19 Rank,GW20 Pts,GW20 Transfers,GW20 Bench,GW20 OR,GW20 Rank,GW21 Pts,GW21 Transfers,GW21 Bench,GW21 OR,GW21 Rank,GW22 Pts,GW22 Transfers,GW22 Bench,GW22 OR,GW22 Rank,GW23 Pts,GW23 Transfers,GW23 Bench,GW23 OR,GW23 Rank,GW24 Pts,GW24 Transfers,GW24 Bench,GW24 OR,GW24 Rank,GW25 Pts,GW25 Transfers,GW25 Bench,GW25 OR,GW25 Rank,GW26 Pts,GW26 Transfers,GW26 Bench,GW26 OR,GW26 Rank,GW27 Pts,GW27 Transfers,GW27 Bench,GW27 OR,GW27 Rank,GW28 Pts,GW28 Transfers,GW28 Bench,GW28 OR,GW28 Rank,GW29 Pts,GW29 Transfers,GW29 Bench,GW29 OR,GW29 Rank,GW30 Pts,GW30 Transfers,GW30 Bench,GW30 OR,GW30 Rank,GW31 Pts,GW31 Transfers,GW31 Bench,GW31 OR,GW31 Rank,GW32 Pts,GW32 Transfers,GW32 Bench,GW32 OR,GW32 Rank,GW33 Pts,GW33 Transfers,GW33 Bench,GW33 OR,GW33 Rank,GW34 Pts,GW34 Transfers,GW34 Bench,GW34 OR,GW34 Rank,GW35 Pts,GW35 Transfers,GW35 Bench,GW35 OR,GW35 Rank,GW36 Pts,GW36 Transfers,GW36 Bench,GW36 OR,GW36 Rank,GW37 Pts,GW37 Transfers,GW37 Bench,GW37 OR,GW37 Rank,GW38 Pts,GW38 Transfers,GW38 Bench,GW38 OR,GW38 Rank
avner sabah,76,0,12,400600,400600,45 (49),2 (-4),8,1673813,6091014,46,0,15,2168756,6128430,81,0,23,963280,969970,33,0,6,1963157,9641760,71 (75),3 (-4),0,1076401,631011,87,1,21,478475,390241,52,1,11,937593,7549023,68,1,20,414147,662916,65,1,18,618464,6590155,38,1,3,693989,6342132,48 (52),2 (-4),4,565049,1817305,53 (57),2 (-4),6,367477,604329,58,1,3,551912,7050935,47 (51),2 (-4),20,679526,5416514,86,5,12,451319,616214,85,1,5,400700,2010356,44 (48),2 (-4),26,438993,4624993,27 (31),2 (-4),13,647365,10723731,37,0,12,868788,7822078,57,2,18,844324,3456179,33,1,8,972960,10041648,34,1,20,1173573,10620374,77,0,8,812311,430839,89,0,15,484556,118259,70,0,0,432015,2592432,44,2,13,463347,7156638,51 (59),3 (-8),8,681695,5043032,49 (53),2 (-4),6,891171,6930871,47 (51),2 (-4),10,953454,3278905,54,1,0,945349,2725912,75,0,2,673414,222646,69 (77),4 (-8),15,928767,3434161,68 (72),2 (-4),0,716516,176035,52 (56),2 (-4),8,764311,4509395,80 (84),2 (-4),6,779257,2348441,50,1,15,918907,8097076,44,1,2,1011475,5477009
David Peres,60,0,6,2856514,2856515,63,0,6,1303815,1875042,45,2,14,2037157,6775454,81,0,8,901815,969970,41,0,11,1252838,6471775,59,2,5,1211627,3151813,68 (72),3 (-4),7,1286601,3094313,57,1,21,1674620,6082326,45,1,28,1825944,6325728,76,0,6,1625818,2598972,35,0,5,1860591,7614118,50,1,7,1476620,2211550,38,1,3,1494914,4717487,78,2,6,1163918,1394403,49,0,23,1265348,5895048,83,4,11,935850,877003,76,1,8,1031836,4200081,48,0,15,994294,4308221,38 (46),4 (-8),0,1058378,3883494,56,0,8,882124,1776880,52,1,17,961703,5204532,38,1,22,986751,7517995,45 (49),3 (-4),23,943391,4200639,70 (74),2 (-4),6,757291,821006,78,0,10,591119,707827,61,1,14,653362,5728400,53,1,11,563255,3047749,67,1,1,572304,2980710,46,1,4,808628,8889512,55,0,11,752612,1871223,35,1,0,1034163,7066558,55,1,19,1029912,3760084,87,3,9,1029671,2141183,65,0,0,828111,506629,56,0,16,834804,4156291,62 (66),2 (-4),12,1052190,6857872,63,1,21,1053095,3595194,52 (60),3 (-8),0,1055107,1765094
Dor Hazan,52,0,10,5174823,5174831,57,1,7,3734431,3433596,60,0,8,1884806,1599062,73,1,3,1397807,2784551,28,1,4,3095966,10962490,60,1,1,2393002,2892679,61,1,4,2789511,6134491,47,1,11,3717260,8756485,45,0,11,3856300,6097603,85,1,0,2963490,804388,40,0,32,2953755,4999072,47,2,7,2603113,3070864,52,1,6,1918464,1073087,57,1,7,2346398,7321235,39,1,12,2885851,9938256,62,4,10,3066038,5688790,57,2,10,3835139,9018986,50,1,14,3642398,3763838,49,1,15,3315827,2683892,63,0,16,2670752,733217,62,2,11,2422689,1965842,34,1,12,2585315,9580492,71,0,13,1693244,182009,77,1,13,1218515,475200,52,0,8,1564321,8790973,74,2,3,1322865,1841171,68,1,12,885820,404051,62,1,0,956849,4192237,48,1,3,1224657,8337545,40,1,9,1418158,7853044,31,1,0,1828482,8123677,48,0,6,1945188,5978726,60,2,5,2325468,7574161,67,0,7,1875095,383348,83,1,10,1444901,81855,78,1,5,1467152,3733553,68,1,6,1395217,2212422,60,1,0,1280975,1707101
Ronen Pari,55,0,6,4223898,4223904,54,1,8,3734431,4331919,52,1,18,3046843,4021860,70,0,13,2489563,3536852,63,0,0,1003046,312546,72,1,7,528232,892742,62,2,5,804529,5903809,53,1,13,1329153,7274329,32,0,20,2107682,10910684,62 (66),3 (-4),14,2602999,6346188,41,0,13,2544028,4518598,37,1,2,2710817,6714142,43,1,6,2406240,2939366,52,1,4,3076724,8540588,40 (44),2 (-4),14,3585593,8235318,55,3,4,4012106,8059783,60,2,9,4598456,8447455,47,1,12,4512553,4996713,39,2,2,4583243,7143188,67,1,5,3716204,441499,60,0,9,3482307,2294050,29,1,20,3843417,11495374,38,1,21,4050345,9082977,59,0,19,3933363,4626420,73,0,7,3568436,1540096,49,2,6,3988866,9873395,38,0,19,4266482,9787640,85,2,10,3415501,387836,81,1,5,2781694,790166,49,0,12,2724265,3697787,66,2,1,2272422,646442,73,2,4,1846635,361230,112,0,37,1311510,453458,59,1,4,1136658,1148260,47,1,16,1261937,8178254,61 (65),2 (-4),18,1528243,7099772,66,1,0,1482366,2720284,57 (65),3 (-8),17,1403477,1028492
Mika Cohen,44,0,21,7400945,7400956,53,1,5,6225277,4666867,71,1,3,2037157,307767,52,0,8,3882893,9331979,41,1,-2,4143017,6735285,51,2,7,3839720,4870348,63,1,13,3929930,5556379,51,0,12,4464237,7652099,39,0,14,4970453,8476092,58,1,0,5503742,8862358,41,0,4,5389274,4518598,45,3,5,5084425,3747418,51,1,7,4216055,1206554,77,1,8,3600278,1540834,67,0,4,2841567,1075775,58,5,4,3194940,7085239,78,0,2,3117286,3518030,51,1,20,2906945,3395265,45,2,7,2744747,4252599,52,0,15,2529456,2699428,69,0,12,2058536,577462,33,0,22,2242790,9765441,32,4,7,2628413,11273289,43,1,1,3115729,10859999,58 (62),2 (-4),14,3302131,5526225,57,0,8,3457503,6944124,34,2,18,3870066,11542163,85,0,3,3051206,348673,59,0,3,3062364,4969055,43,3,20,3162234,6571129,60,1,2,2797249,1542404,67,0,10,2457532,821763,132,0,0,1434869,70583,69,0,13,1108420,277662,63,0,8,1025220,1944362,81,1,17,1022421,2997508,54,2,18,1133617,6765091,30,2,2,1413357,9867099
Dudi Cohen,58,0,14,3379511,3379513,44,1,4,5228390,7546024,56 (60),2 (-4),9,3603651,1744002,62,1,7,3952792,6443959,52,1,2,2926558,2254862,56 (60),2 (-4),8,2579534,2934276,73,0,23,2169116,2582789,55,0,13,2641476,6529049,46,2,42,2745529,6026283,49,0,15,3933365,10708464,49,2,7,3415795,1857234,43,0,6,3240042,4124725,37,2,5,3191544,5206134,44,1,6,4241587,10074512,65,0,6,3539306,1353228,63,3,3,3622395,5325693,100,3,0,2669886,359502,60,1,1,2161386,1121987,31,0,7,2492905,10431478,39,1,6,2748720,7355225,51,2,6,2876969,5635757,24,0,8,3403396,12330774,33,0,20,3788441,10710574,62,3,6,3579964,3834553,65,1,8,3507685,4278094,81,0,3,2878237,657147,44,0,6,2951370,6708526,57,1,7,3051206,5528431,59 (63),3 (-4),14,3068013,4148619,64 (68),2 (-4),14,2598777,243100,57 (61),2 (-4),0,2370944,1387566,32 (40),3 (-8),11,2862613,9042072,102 (106),2 (-4),0,2293061,723260,60,0,28,1968997,937427,55 (59),2 (-4),3,1982764,3391075,91,1,2,1774651,1085564,84,1,7,1457994,249842,49,1,3,1486793,4114033
Adam Rosenthal,61,0,2,2607687,2607688,42,1,0,5021683,8100479,53 (57),2 (-4),3,3941039,2494637,81,1,5,1904852,1043748,45,1,5,1931937,4924765,63,0,-1,1439505,2175697,44,2,3,2951928,10157432,54,0,9,3420991,6823726,70,1,10,2126415,487404,73,1,2,2043276,3699846,56,2,4,1362432,616207,23,1,8,2139575,11608632,40,0,1,2016333,3724883,64,0,1,2140554,5032111,59,0,4,1845488,2553701,71,0,3,1760184,2839896,111,2,0,887904,55930,43,1,12,967916,6833615,31,0,3,1194185,10431478,57,3,9,980497,1762234,63,0,14,828284,1551487,22,0,6,1207096,12512614,50,0,12,1038501,3471480,61,4,5,1015095,4225561,54,0,4,1293269,8160498,83,0,8,908654,481947,70,0,3,540962,256740,59,2,0,656405,5018526,64,0,0,640686,3658307,42,1,16,772764,6948930,42,0,0,947821,5155868,51,0,5,1005526,4903646,91,0,6,955604,1704182,42,0,0,1029775,4206932,63,0,11,951425,1944362,61,0,9,1192972,7808272,48,0,6,1391693,8461588,42,0,0,1517862,5820862
Kfir Emmer,62,0,9,2372235,2372236,58,1,2,1755577,3159119,56,0,2,1142760,2587151,70,2,9,1114010,3772924,48,0,5,1013236,3437485,50,2,4,1496076,5058405,63,1,7,1800477,5556379,52,1,7,2468276,7549023,54,0,11,2115572,3264898,65,0,8,2428714,6385261,71,2,0,1087121,30278,41,0,8,1104295,4862687,41,0,9,1054750,3381799,67,2,14,1092567,4305634,46,0,19,1289198,7108253,62,5,9,1540418,5715537,72,1,6,1755044,5359620,61 (65),2 (-4),21,1323176,549766,45,1,16,1201118,4193413,61,1,3,899667,1045642,53,0,18,955997,4586743,35,2,6,1049871,9177819,46,1,25,979404,5376794,33,1,2,1628347,12398905,60,0,4,1776552,5985432,66,0,7,1710050,3753196,42,2,4,1827648,8225233,70,0,7,1658414,2226871,72,2,12,1429928,2088982,43,1,10,1563473,6492999,50,0,16,1581772,3429899,32,0,3,2029180,10955302,58,2,11,2445298,8144984,64,1,0,2031624,633706,53,0,5,2078539,5352115,96,2,17,1782738,557664,63,1,0,1775391,3595194,54,1,5,1721381,2897092
Rani Eylat,50,0,18,5781357,5781366,46,1,12,6409688,6949813,51,0,11,5383060,4229326,79,0,5,3085578,1290624,49,2,8,2558508,3363593,52,1,9,2614000,4638942,75,1,4,2082721,2210408,56,1,13,2513677,6393978,42,1,21,2841055,7475951,49 (65),5 (-16),11,4064474,6732259,32,0,10,4475847,9117605,53,1,4,3735891,1584099,42,1,12,3399122,3252911,67,1,5,3328517,4237626,38,1,18,3922945,10233296,41,5,11,4933862,11448223,87,0,11,4364706,1594823,53,1,11,4045062,2725862,47 (51),2 (-4),6,3797161,2120521,40,0,4,3984499,6701013,51,2,21,4072022,5635757,31,1,12,4363522,10857162,33,0,8,4757767,10710574,72,2,0,4158707,1125281,62,0,7,4160302,5199384,42 (46),2 (-4),8,4792944,10652631,48,1,6,4739686,5058606,55,0,4,4787579,5873131,64,2,6,4569842,3866263,60,0,14,4124255,908062,41,0,0,4156318,5385830,73,2,4,3595394,361230,106,0,8,2828288,693944,70 (82),5 (-12),0,2258238,18056,58,0,5,2212154,3431879,74,1,9,2273234,4778508,74,2,11,2071125,1112728,58 (62),2 (-4),6,1939543,1416421
Oran Turgeman,59,0,13,3111856,3111857,44,1,6,5021683,7546024,36,1,9,6655244,9618239,62,0,20,6369550,6276024,48,1,26,5573949,3662941,22,1,11,7385578,11229702,57 (65),3 (-8),6,7319204,5076771,55,1,9,7093330,6696661,64 (68),2 (-4),31,6096122,679399,70 (74),2 (-4),7,5859771,3437998,25,1,3,6579866,11631937,45,1,2,6266104,3635691,25,1,16,6713862,10274710,70,1,2,6213728,3279359,62,1,24,5649439,1993094,54,1,17,5933964,8358839,107,1,24,4519134,111021,59,3,0,3966300,1333022,38,0,4,4069766,7227458,34,2,6,4479708,9225814,56,1,11,4361098,3739456,30,1,17,4690663,11198143,62,1,3,4017394,884836,38,1,14,4662525,11861836,59,1,16,4744008,6641974,65,2,7,4594274,4351739,53,1,20,4375146,3047749,54,1,3,4478917,6362096,86,1,0,3622655,404823,46,1,19,3612807,5185438,48 (52),2 (-4),2,3508321,3170664,56,1,5,3397890,3411790,96,1,15,2873823,1342987,90,0,16,1933076,1584,49,1,16,2050738,7353102,76,1,8,2082884,4248312,56,0,13,2186071,5731225,35,0,0,2421090,7973286
Elad Kainer,35,0,10,8879360,8879375,64,1,2,5839522,1780285,25,1,2,8311253,11119235,50,1,1,8761617,9896587,26,1,7,9439190,11244974,68,1,2,7625350,1466307,68,0,6,6762520,3963554,73,2,12,5532473,1590062,36,1,7,6203721,9896735,75,1,24,5681932,3046176,57,0,8,4680294,449046,31,2,15,5145551,9259858,48,0,7,4428210,1589936,63,2,10,4479865,5623447,40,1,11,4953259,9621450,58,1,6,5134011,7010165,79,3,19,4872003,3461376,41,0,4,5011483,7474955,56,0,13,4415153,915331,66,4,4,3600248,544063,78,0,3,2730492,86725,35,0,12,2859052,8776682,41,0,4,2940580,7385186,60,0,7,2833328,4243807,58,2,5,3027733,7066704,48,2,4,3487985,10150316,51,0,1,3334879,3496423,64,0,14,3196062,3532079,66,4,13,3007056,3407504,58,1,13,2699377,1332643,45,0,0,2744905,4491115,64,1,19,2478771,1375668,69,1,2,2632998,5056394,41,0,0,2631822,4476707,44,0,9,2850476,8987460,75,0,33,2865467,4334576,61,0,12,2868645,4011106,44,0,3,2931024,5252913
Michael Pelegrino,47,0,9,6638992,6639003,55,1,13,5228390,4022520,45 (57),4 (-12),5,5500457,2566584,73,0,11,3969221,2649081,40,0,10,4315821,6922798,31,2,11,5724636,9239318,54,0,11,6145982,7834796,45,1,12,6689083,9176768,43 (47),3 (-4),7,6911369,5717377,69,0,5,6652963,4930214,44,1,14,6372294,3463036,48,2,5,5904247,2782557,46,1,4,5293202,2134187,62,0,10,5300273,5678804,35,2,5,5962256,11005786,61,0,20,5931801,5771214,98,5,7,4881321,490082,69 (77),3 (-8),0,3931616,73156,42 (46),2 (-4),10,3880148,3831973,55 (59),2 (-4),4,3497987,1376055,39 (47),3 (-8),23,4041132,7155576,38,0,21,4075117,7180501,42,2,14,4135962,7315516,70,0,16,3623601,1358007,73,0,5,3277793,1540096,64,2,5,3207998,4694644,40 (44),2 (-4),10,3416651,7156638,54,1,2,3580032,6362096,78,1,12,3017487,1125608,39,0,10,3224593,7933278,61,0,11,2828190,1269189,56,0,3,2744268,3179668,83,2,8,2578570,2559328,17,0,0,3062083,11752533,49,0,10,3181635,7010401,107,4,0,2577461,83616,53,0,14,2731636,6794302,32,2,0,3011210,9245475
Idan Shwartz,72,0,0,728920,728920,46,0,7,1982826,6780851,36,2,23,4217967,9674353,81,0,14,2050274,969970,43,0,21,2244891,5562398,55,2,14,2180029,4034245,68,0,10,2135061,3963554,55,0,4,2617173,6529049,52,2,10,2379177,4082334,68,2,10,2540127,5564803,37,1,13,2700125,6878469,44,1,2,2509656,3974765,40,0,7,2353952,3724883,43,1,2,3450394,10233853,44,1,9,3761885,8172528,44,5,4,4664444,10967089,119,1,8,2850525,9564,75,1,20,1823941,99877,38,1,9,1903705,7572950,47,0,23,1898624,4193489,46,0,15,2186756,7176784,52,2,9,1779619,1767319,40,0,19,1870417,7859411,65,2,3,1680790,2787311,53,0,10,2027047,8483585,74,0,3,1734786,1674535,31,0,4,2154712,12011207,58,1,8,2267646,5255683,62,3,15,2237191,4409508,30,0,12,2694400,11232108,49,2,2,2646479,3806865,60,0,10,2475813,2060526,80,2,0,2404779,2947936,30 (34),2 (-4),0,2633106,6917196,52,0,13,2694497,5761810,64,2,24,2925204,7334769,58,0,17,2982689,5028318,32,0,0,3255116,8939139
Tomer Goldthorpe,64,0,2,1939861,1939861,29,1,12,6930294,10330977,54,0,6,5383060,3195771,75,1,4,3615810,2251481,33 (41),3 (-8),3,4914265,6884298,44,1,2,4998084,6103617,51,0,5,5772470,8557439,73,0,5,4652217,1466337,64,2,10,3628553,1189140,57,1,5,4331784,9138077,53,1,24,3572959,983274,60,0,3,2509656,606421,43,2,13,2233085,2994810,60,0,5,2527498,6292380,47,2,15,2720900,7032579,64 (68),6 (-4),0,2832223,3876382,91,1,0,2308289,1079451,56,1,17,1963692,1905574,63,1,11,1289472,319192,53,1,17,1156405,2607274,51,0,17,1268688,5326521,41,0,7,1217554,5573820,43,3,13,1218685,6879613,44,1,16,1609274,10593428,64,0,4,1651216,4417628,46,2,0,2127491,10652631,40 (44),2 (-4),4,2314525,7156638,57,1,2,2447313,5528431,58,1,5,2513097,5450685,32,0,7,2918947,10646025,64,0,2,2485953,810859,51,0,10,2527854,4903646,77,3,8,2513527,3424080,31,1,0,2716554,7930470,40,0,7,3016690,10261337,68,0,19,3159025,6152810,43,2,0,3501230,10074453,40,0,0,3605578,6410723
Alon Meir,55,0,9,4223898,4223904,51,1,0,4380142,5326082,59,1,2,2444832,1920624,66,0,21,2489563,4876480,46,0,22,2342217,4245335,60,2,12,1911459,2934276,63,0,12,2196598,5394519,68,2,4,1961695,2736260,31,1,10,2899423,11275031,49,1,13,4095558,10832862,42,0,7,3947346,4058517,40,2,1,3934461,5562730,35,1,7,3952370,5998016,44,1,15,4956241,10074512,30,0,9,5858801,11688572,60,5,15,5890905,6401219,84,1,1,5372922,2207934,50 (54),2 (-4),2,5169069,2465745,37,1,16,5313904,8073697,45,0,6,5256036,4872555,59,2,13,5001819,2810029,38,1,24,5047404,7517995,38,1,27,5261087,9082977,60,0,16,5084351,4243807,66,1,9,4909036,3894223,47,0,10,5339908,10184879,36,1,7,5670779,10888719,78,1,4,4967774,1027551,84,1,7,4147808,535329,42,1,4,4233280,6948930,48,1,6,4074045,4001474,57,0,5,3915354,2878886,68,0,1,3966871,5102735,37,0,10,3968390,5651480,85,4,0,3320327,58599,82,1,5,3176278,2760811,45,1,14,3479148,9568974,38,0,0,3621680,7021992
Roe Ikeda,51,0,11,5471399,5471408,38,0,12,7467022,8927235,31 (35),3 (-4),4,8623136,9947885,60,0,22,8361947,6964849,39,0,10,8380471,7363615,58 (62),3 (-4),4,6926996,2527489,54,0,15,7113001,7834796,70,2,14,6031321,2227894,44,0,38,6203721,6462443,42 (46),3 (-4),8,7397989,11268270,57,1,0,6475430,497837,66,1,7,5046844,280959,45,1,5,4497467,2379872,58,1,6,4777395,7050935,47,1,7,4913338,6961409,74,4,6,4412436,2299134,71,1,18,4524345,5651770,39 (43),3 (-4),13,4754187,6957152,47,0,18,4507898,3124540,50,1,1,4290862,3453299,55,0,4,4216119,3872082,46,0,16,3956300,3332087,42,0,14,4013241,6907487,53,2,1,4119553,7418047,65,1,7,4021109,4278094,63,1,16,3959572,4999539,51 (55),3 (-4),14,3808117,2490608,52,1,3,4011206,6924505,73 (77),2 (-4),6,3564667,1279194,40,0,4,3726415,7493806,29,2,7,4106145,8667239,38,1,12,4425208,9621256,100,0,21,3697424,1028275,31 (35),2 (-4),0,3845448,6583556,45 (49),2 (-4),23,4042556,7389471,83 (87),2 (-4),0,3838908,1755644,70,1,4,3639158,1773703,41 (45),2 (-4),7,3718815,5221435
Or Portal,56,0,6,3932974,3932979,62,1,3,2056707,2183234,46,1,5,2590197,6302765,60,1,5,3384082,7128392,35,0,18,4383296,8972267,54 (58),3 (-4),2,3771743,3406126,65,1,5,3724931,4977295,62,0,5,3604576,4308006,53,0,6,3255307,3548978,74,3,5,3043156,3490130,35,0,4,3299045,7614118,32,0,0,3716318,8543211,38,1,6,3586469,4717487,61 (65),2 (-4),1,3800435,4972119,54,1,10,3632514,4232889,73,4,0,3283349,2516942,77,2,16,3245284,3964474,59,1,17,2731138,1287964,24,1,10,3361498,12195625,50,1,7,3190377,3453299,57,1,11,3089473,3395272,39,0,13,3078220,6637718,46,1,20,2984501,5376794,67,1,6,2639453,2177296,56,0,10,2899970,7479775,60,2,7,2973724,6147893,49,0,10,2887927,4292797,50,0,2,3199261,7259379,75,0,0,2750084,1451956,49,0,1,2694400,3697787,17,0,0,3446011,11393253,71,0,8,2970559,437591,57,0,11,3348640,8161751,12,0,0,3922888,12504522,62,0,3,3755604,2200639,71,0,2,3808395,5380781,48,0,1,4040379,8461588,30,0,0,4304272,9570207
Ohad Gold,58,0,6,3379511,3379513,54,1,3,3126374,4331919,36 (40),2 (-4),4,5303002,8554323,76,0,13,3384082,1896301,48,1,7,2901024,3662941,33,1,4,4448092,8640410,42,1,7,5990909,10469596,59,0,12,5708575,5276373,41,0,27,6070866,7627870,69,2,17,5893727,5198386,47,1,4,5452841,2374243,34,0,7,5723917,7716184,36,2,3,5642510,5634270,79,0,1,4807258,1098348,48,0,7,4893865,6298196,65,5,4,4791586,4728550,83,1,7,4393442,2417468,62,1,0,3718112,844484,34,1,13,3982094,9494510,48,0,10,3857575,3867991,83,2,8,2797266,32745,22,1,15,3397706,12557701,41,1,21,3489405,7717140,37,1,10,4184776,12001435,61,0,1,4219370,5594309,52,0,11,4516822,8685124,48,0,12,4463427,4731004,54,3,2,4563973,6411750,64,0,7,4353346,3658307,53,2,10,4117457,2634575,49 (53),2 (-4),0,3943245,2961027,53,1,2,3891353,4465665,36,0,4,4687662,12189131,39,0,0,4607879,5046309,59,0,6,4488926,3095859,38,0,15,5179034,11617881,55,0,0,5224920,6087106,51,0,0,5037877,3437958
